Genere,Imdb_rating,User_rating,Directed by,Produced by,Written by,Hero,Heroine,Music by,Cinematography,Edited by,company,Release date,Language,num_nulls
Drama,4.5,83.0,Others,R. B. Choudary,Chintapalli Ramana (dialogues),Nagarjuna Akkineni,Others,Others,Shyam K. Naidu,Nandamuri Hari,Others,October,Telugu,1
Comedy,6.9,79.0,Others,Others,Others,Others,Others,Others,Ram Prasad,Others,Others,December,Telugu,0
Drama,6.2,83.0,Others,Others,Others,Gopichand,Sneha,Vandemataram Srinivas,Others,Kola Bhaskar,Others,August,Telugu,1
Romance,4.8,85.0,Others,Ramoji Rao,Others,Jr. NTR,Others,S. A. Rajkumar,S. Gopal Reddy,Others,Ushakiran Movies,May,Telugu,2
Comedy,5.6,83.0,Others,Others,Others,Others,Simran,A. R. Rahman,Others,Suresh Urs,Others,November,Tamil,3
Comedy,3.9,83.0,Others,Sivalenka Krishna Prasad,Ramesh-Gopi (dialogues),Nandamuri Balakrishna,Others,Mani Sharma,Jayanan Vincent,Nandamuri Hari,Others,June,Telugu,1
Others,5.6,83.0,Others,Others,Others,Ravi Teja,Others,Others,Others,Others,Others,September,Telugu,6
Bollywood,4.4,78.0,Others,Others,Marudhuri Raja (dialogues),Nagarjuna Akkineni,Soundarya,S. A. Rajkumar,Chota K. Naidu,Others,Others,March,Telugu,0
Comedy,3.8,83.0,Others,Others,Janardhan Maharshi,Nagarjuna Akkineni,Simran,M. M. Keeravani,Shyam K. Naidu,Others,Others,June,Telugu,1
Tollywood,5.7,80.0,Others,Ramoji Rao,Others,Others,Others,Others,Others,Nandamuri Hari,Ushakiran Movies,December,Telugu,3
Drama,7.1,83.0,Others,Others,Others,Others,Others,M. M. Srilekha,Hari Anumolu,Others,Suresh Productions,April,Telugu,4
Drama,5.7,75.0,Others,Ramoji Rao,Others,Srikanth,Others,S. A. Rajkumar,Others,Others,Ushakiran Movies,March,Telugu,4
Comedy,5.5,83.0,S. V. Krishna Reddy,Others,Others,Others,Others,S. V. Krishna Reddy,Sarath,Nandamuri Hari,Others,March,Telugu,1
Others,6.0,83.0,Others,Others,Marudhuri Raja (dialogues),Others,Others,Others,Others,Gowtham Raju,Others,May,Telugu,3
