Genere,Imdb_rating,User_rating,Directed by,Produced by,Written by,Hero,Heroine,Music by,Cinematography,Edited by,company,Release date,Language,num_nulls
Comedy,3.9,83.0,P.A. Arun Prasad,Sivalenka Krishna Prasad,Ramesh-Gopi (dialogues),Nandamuri Balakrishna,Anjala Zhaveri,Mani Sharma,Jayanan Vincent,Nandamuri Hari,Sridevi Movies,June,Telugu,1
Others,5.6,83.0,Radha Krishna,Bingi Durgadas Goud[1][2],Radha Krishna[3],Ravi Teja,Sanghavi,A. B. Murali,Others,Others,Others,September,Telugu,6
Bollywood,4.4,78.0,Jonnalagadda Srinivasa Rao,D. Sivaprasad Reddy,Marudhuri Raja (dialogues),Nagarjuna Akkineni,Soundarya,S. A. Rajkumar,Chota K. Naidu,Cola Bhaskar,Kamakshi Movies,March,Telugu,0
Comedy,3.8,83.0,K. S. Ravikumar,M. Arjuna Raju,Janardhan Maharshi,Nagarjuna Akkineni,Simran,M. M. Keeravani,Shyam K. Naidu,Cola Bhaskar,Roja Movies,June,Telugu,1
Tollywood,5.7,80.0,Vikram Kumar & Raj Kumar,Ramoji Rao,Others,Charan Dodla,Shriya,DG Gopinath (debut),V Srinivas Reddy,Nandamuri Hari,Ushakiran Movies,December,Telugu,3
Drama,7.1,83.0,Boyina Subba Rao,D. Rama Naidu,Story: Sriraj Ginne,Laya,Sai Kiran,M. M. Srilekha,Hari Anumolu,Others,Suresh Productions,April,Telugu,4
Drama,5.7,75.0,Muthyala Subbaiah,Ramoji Rao,Others,Srikanth,Raasi,S. A. Rajkumar,Others,Others,Ushakiran Movies,March,Telugu,4
Comedy,5.5,83.0,S. V. Krishna Reddy,Grandi Narayana Rao (Babji),Divakar Babu (dialogues),Jagapathi babu,Ramyakrishna,S. V. Krishna Reddy,Sarath,Nandamuri Hari,Sri Dhanalakshmi Films,March,Telugu,1
Others,6.0,83.0,Muppalaneni Shiva,Pokuri Baburao,Marudhuri Raja (dialogues),Meena,Ravi Teja,Vandematharam Srinivas,Ch. Ramana Raju,Gowtham Raju,Eetharam films,May,Telugu,3
Romance,6.0,83.0,V.R Pratap,K.L.N. Raju,Diwakar Babu (dialogues),Jagapati Babu,Laya,Koti,Ajay Vincent,Nandamuri Hari,Sri Sairam Productions,September,Telugu,2
Comedy,6.7,83.0,Teja,Sunkara Madhu Murali,Teja,Jagapati Babu,Rajendra Prasad,R. P. Patnaik,Rasool,Shankar,Melody Multimedia,June,Telugu,2
Others,5.4,85.0,Relangi Narasimha Rao,D. Lata Mahesh,Ramesh-Gopi (dialogues),Rajendra Prasad,Suman,Shanmuk,Shankar,B. Krishnam Raju,Sirisha Productions[1],February,Telugu,1
Drama,4.7,83.0,Singeetam Srinivasa Rao,Ramoji Rao,Paruchuri Brothers,Akkineni Nagarjuna,Rajendra Prasad,M.M. Keeravani,S. Gopal Reddy,A. Sreekar Prasad,Ushakiran Movies,August,Telugu,2
Others,6.0,77.0,N. Shankar,Medikonda Murali Krishna,Posani Krishna Murali (dialogues),Srihari,Sindhu Menon,Vandemataram Srinivas[1],Jaswanth,Goutham Raju,Sri Sai Balaji Arts,December,Telugu,3
Comedy,7.2,71.0,Azhagam Perumal,Mani Ratnam,Mani Ratnam,Jyothika,Madhavan,Karthik Raja,Ramji,Sreekar Prasad,Madras Talkies,April,Tamil,1
Others,5.5,83.0,V. Jyoti Kumar,V.Anand Prasad,Jaladanki Sudhakar,Rajendra Prasad,Bhavana,M. M. Srilekha,N.V.Suresh Kumar,Murali-Rammaiah,Sudha Art Productions[1],November,Telugu,3
Psychological_thriller,7.2,90.0,Suresh Krissna,S. Thanu,Kamal Haasan,Kamal Haasan,Raveena Tandon,Songs:,Tirru,Kasi Viswanathan,V. Creations,November,Tamil,1
Comedy,7.7,91.0,Gautham Vasudev Menon,Murali Manohar,Gautham Vasudev Menon,R. Madhavan,Abbas,Harris Jayaraj,R. D. Rajasekhar,Suresh Urs,Cee (I) Tv Entertainment,February,Tamil,1
Drama,7.6,83.0,Kranthi Kumar,Others,Others,Vikram,Soundarya,V. S. Udhaya,Ram Prasad,Others,Others,January,Telugu,6
Romance,6.0,83.0,Jitendra,Gogikar Bajarang Jayadev,Others,Vikram,Sri Harsha,Ramana Ogeti,Others,Others,Sri Siva Kesava Films,March,Telugu,6
Action,7.3,81.0,B. Gopal,C. Ashwini Dutt,Chinni Krishna,Chiranjeevi,Arti Agarwal,Mani Sharma,V. S. R. Swamy,Kota giri Venkateswara Rao,Others,July,Telugu,2
Romance,7.3,87.0,Trivikram Srinivas,Sravanthi Ravi Kishore,Trivikram Srinivas,Tarun,Shriya Saran,Koti,Others,Sreekar Prasad,Sri Sravanthi Movies,October,Telugu,2
Action,6.9,90.0,Jayanth C. Paranjee,Jayanth C. Paranjee,Satyanand,Mahesh Babu,Bipasha Basu,Mani Sharma,Jayanan Vincent,Marthand K Venkatesh,Jayanth Fulcrum Cinergies,January,Telugu,1
Comedy,7.2,83.0,Dasarath,K. L. Narayana,Dasarath (dialogues),Nagarjuna Akkineni,Prabhu Deva,R. P. Patnaik,S. Gopal Reddy,K. V. Krishna Reddy,Sri Durga Arts,May,Telugu,0
Drama,7.1,81.0,Puri Jagannadh,Puri Jagannadh,Puri Jagannadh,Ravi Teja,Rakshita,Chakri,Shyam K. Naidu,Others,Others,August,Telugu,4
Romance,6.9,83.0,Ravi Babu,Ravi Babu,Nivas (dialogues),Allari Naresh,Swetha Agrawal,Paul J,Loganathan Srinivasan,Marthand K. Venkatesh,Flying Frogs,May,Telugu,2
Comedy,8.3,85.0,K. Vijaya Bhaskar,Nagarjuna Akkineni,Trivikram Srinivas,Nagarjuna Akkineni,Sonali Bendre,Devi Sri Prasad,Sameer Reddy,A. Sreekar Prasad,Annapurna Studios,December,Telugu,0
Action,5.1,83.0,G. Ram Prasad,DVV Danayya,Paruchuri Brothers (dialogues),Nandamuri Balakrishna,Simran,Mani Sharma,V. S. R. Swamy,Kotagiri Venkateswara Rao,Sri Balaji Art Creations,January,Telugu,1
Drama,6.2,78.0,Teja,Teja,Teja,Nithiin,Sadha,R. P. Patnaik,Sameer Reddy,Shankar,Chitram Movies,June,Telugu,1
Drama,4.5,83.0,B. Gopal,Chanti Addala,Paruchuri Brothers,N. T. Rama Rao Jr,Gajala,R. P. Patnaik,Ravindra Babu,Others,Others,July,Telugu,4
Romance,6.3,85.0,Y. Kasi Viswanath,Daggubati Suresh Babu,Y. Kasi Viswanath,Tarun,Aarti Agarwal,R. P. Patnaik,Sekhar V. Joseph,Marthand K. Venkatesh,Suresh Productions,January,Telugu,1
Action,5.3,86.0,Jayanth C. Paranjee,Others,Deena Raj (story),Prabhas,Sridevi Vijaykumar,R. P. Patnaik,Jawahar Reddy,Marthand K. Venkatesh,Others,November,Telugu,4
Action,6.2,83.0,V. N. Aditya,Burugapally Siva Rama Krishna,Dharani,Uday Kiran,Anita Hassanandani,R. P. Patnaik,Shiva Kumar,Marthand K. Venkatesh,Others,June,Telugu,4
Romance,6.9,91.0,A. Karunakaran,K. S. Rama Rao,Trivikram Srinivas (dialogues),Venkatesh,Bhoomika Chawla,Harris Jayaraj,R. Ramesh Babu,Marthand K Venkatesh,Creative Commercials,April,Telugu,0
Comedy,6.7,83.0,E. V. V. Satyanarayana,E. V. V. Satyanarayana,E. V. V. Satyanarayana,Prabhu Deva,Allari Naresh,Devi Sri Prasad,Loganathan Srinivasan,Marthand K. Venkatesh,E. V .V. Cinema,December,Telugu,3
Others,5.6,83.0,YVS Chowdary,YVS Chowdary,Chintapalli Ramana (Dialogues),Nandamuri Harikrishna,Bhanupriya,M. M. Keeravani,Prasad K. R.,Kotagiri Venkateswara Rao,Bommarillu,May,Telugu,1
Comedy,6.1,83.0,Muppalaneni Shiva,Adityaram,Chintapally Ramana (dialogues),Jagapathi Babu,Rajendra Prasad,Koti,B. Ramana Raju,K. Ramesh,Adityaram Movies,December,Telugu,1
Others,4.2,83.0,Sekhar Suri,Mansoor Ahmed,Sekhar Suri,Tarun,Reema Sen,Dhina,Shyam K Naidu,Thirupathi Reddy,Others,June,Telugu,5
Action,6.1,75.0,V. V. Vinayak,Bellamkonda Suresh,Paruchuri Brothers (dialogues),Nandamuri Balakrishna,Shriya Saran,Mani Sharma,Ajayan Vincent,Gautham Raju,Sri Sai Ganesh Productions,September,Telugu,0
Action,5.6,68.0,V. Samudra,R. B. Choudary,Paruchuri Brothers (dialogues),Jagapathi Babu,Nandamuri Harikrishna,S. A. Rajkumar,Shyam K. Naidu,Nandamuri Hari,Super Good Films,November,Telugu,0
World cinema,7.2,93.0,Srinu Vaitla,S.Sompally,Chintapalli Ramana,Aryan Rajesh,Sunil,Devi Sri Prasad,Others,Others,JD Arts,August,Telugu,4
Drama,5.8,83.0,Jeevitha Rajasekhar,Baby Sivani,Bala,Rajasekhar,Kaveri,Yuvan Shankar Raja,Hari Anumolu,Gowtam Raju,Siva Sivani Movies,February,Telugu,3
Romance,6.0,83.0,Muppalaneni Shiva,Dr. D Rama Naidu,V. Satish,Vineeth,Abbas,S. A. Rajkumar,V. Jayaram,K.V. Krishna Reddy,Suresh Productions,March,Telugu,4
Romance,6.1,83.0,John Mahendran,Ramoji Rao,John Mahendran,Prakash Kovelamudi,Mahek Chahal,Vidyasagar,Chota K. Naidu,Others,Ushakiran Movies,June,Telugu,4
Romance,4.1,74.0,Sobhan,K. Krishna Mohan Rao,Sobhan,Mahesh Babu,Aarthi Agarwal,Mani Sharma,Venkat R. Prasad,S. Sudhakar Reddy,Others,November,Telugu,3
Romance,5.8,83.0,Bhimaneni Srinivasa Rao,Bhimaneni Srinivasa Rao,Bhimaneni Srinivasa Rao,Arjan Bajwa,Charmi,Valisha Baabji,Others,Others,Sampada Creation,March,Telugu,5
Tollywood,6.0,83.0,Pawans Sreedhar,K. Venkateswara Rao,Pawans Sreedhar,Venu Thottempudi,Janani,Yuvan Shankar Raja,M. Mohanchand,Nandamuri Hari,Siva Sivani Movies,March,Telugu,4
Comedy,5.9,71.0,K. Subash,B. Kumar,Others,Prabhu Deva,Jyothika,Deva,Y. N. Murali,Krishnamoorthy-Siva,Sidhesh Films,June,Tamil and Kannada,3
Comedy,6.0,83.0,M. D. Sridhar,M. C. Neha,M. D. Sridhar,Sharan,Ruthika,G. Krishna,Ramana,P. R. Soundar Raj,Komal Enterprises,January,Kannada,3
Drama,4.7,80.0,Suresh Krishna,Rajinikanth,Gopu Babu,Rajinikanth,Manisha Koirala,A. R. Rahman,Chota K. Naidu,V. T. Vijayan,Lotus International,August,Tamil,0
Action,8.1,89.0,Gunasekhar,M. S. Raju,Gunasekhar,Mahesh Babu,Bhumika Chawla,Mani Sharma,Sekhar V. Joseph,A. Sreekar Prasad,Sumanth Art Productions,January,Telugu,2
Action,7.8,79.0,V. V. Vinayak,B. Madhu,A. R. Murugadoss,Chiranjeevi,Jyothika,Mani Sharma,Chota K. Naidu,Gowtham Raju,Others,September,Telugu,2
Romance,4.7,81.0,K. Raghavendra Rao,Allu Aravind,Chinni Krishna,Allu Arjun,Aditi Agarwal,M.M. Keeravani,Chota K. Naidu,Kotagiri Venkateswara Rao,Others,March,Telugu,3
Action,7.5,82.0,S.S. Rajamouli,V. Doraswamy Raju,Dialogue:-,Jr. NTR,Bhoomika Chawla,M. M. Keeravani,K. Ravindra Babu,Kotagiri Venkateswara Rao,Vijaya Maruti Creatives,July,Telugu,0
Tollywood,6.8,87.0,Surya Kiran,Akkineni Nagarjuna,Surya Kiran,Sumanth,Genelia D'Souza,Chakri,Sameer Reddy,Nandamuri Hari,Others,December,Telugu,2
Bollywood,7.1,90.0,V.V. Vinayak,Dil Raju,V.V. Vinayak,Nitin,Neha,R. P. Patnaik,Others,Others,Sri Venkateswara Creations,April,Telugu,4
Action,4.4,83.0,D.K Suresh,A.M. Ratnam,Paruchuri Brothers,Jr. NTR,Sada,Vidyasagar,K. Ravindra Babu,Kola Bhaskar,Others,January,Telugu,2
Action,5.1,86.0,Suresh Krishna,B.Srinivasa Raju,Posani Krishna Murali,Prabhas Raju Uppalapati,Anshu,Mani Sharma,Others,Others,Sree Sree Chitra,March,Telugu,4
Tollywood,7.1,83.0,G. Neelakanta Reddy,Satyanarayana B,G. Neelakanta Reddy,Sivaji,Bhoomika Chawla,Vandemataram Srinivas,Jawahar Reddy,Others,Others,November,Telugu,5
Romance,6.2,91.0,Ramana,Sravanthi Ravi Kishore,Others,Tarun,Vijayachander,Koti,Others,Others,Sri Sravanthi Movies,October,Telugu,4
Drama,8.2,83.0,Chandra Sekhar Yeleti,Gangaraju Gunnam,Chandra Sekhar Yeleti,Pavan Malhotra,Mohit Chadda,Kalyani Malik,K. K. Senthil Kumar,Others,Just Yellow,April,Telugu,4
Drama,7.3,82.0,Puri Jagannadh,Puri Jagannadh,Puri Jagannadh,Ravi Teja,Asin Thottumkal,Chakri,Shyam K Naidu,Others,Others,April,Telugu,3
Family,7.1,83.0,G. Ram Prasad,Venkata Shyam Prasad,Others,Venu Thottempudi,Nikita,Mani Sharma,Others,Gowtam Raju,SP Entertainments,July,Telugu,4
Romance,5.8,88.0,Konda,K. L. Narayana,Kona Venkat (dialogues ),Tarun,Sridevi,R. P. Patnaik,S. Gopal Reddy,Others,Sri Durga Arts,June,Telugu,2
Romance,6.3,84.0,Puri Jagannadh,Puri Jagannadh,Kona Venkat (Dialogues),Nagarjuna Akkineni,Rakshitha,Chakri,Shyam K. Naidu,Marthand K. Venkatesh,Vaishno Academy,October,Telugu,0
Romance,7.6,89.0,Rasool Ellore,Others,Others,Sri Ram,Aarthi Chhabria,M. M. Keeravani,Others,Others,Anandi Art Creations,October,Telugu,6
Romance,5.6,87.0,Jyothi Krishna,A. M. Rathnam,Jyothi Krishna,Tarun,Shriya Saran,A. R. Rahman,R. Ganesh,Others,Others,December,Telugu,4
Drama,5.3,83.0,Ravi Raja Pinisetty,Singanamala Ramesh,Dharani,Ravi Teja,Arti Agarwal,Chakri,Others,Hari Sankar,Kanakaratna Movies,October,Telugu,2
Romance,5.6,83.0,Kondapalli Dasaradh Kumar,Teja,Teja,Nitin,Nikitha,R. P. Patnaik,Prasad,KV Krishna Reddy,Others,July,Telugu,3
Comedy,5.1,83.0,Bhimaneni Srinivasa Rao,Rushita Sai,Ranjan Pramod,Ravi Teja,Kalyani,Vidyasagar,Ramana Raju,Gowtam Raju,Others,August,Telugu,3
Action,6.7,88.0,Teja,Teja,Teja,Mahesh Babu,Rakshita,R. P. Patnaik,Sameer Reddy,Shankar,Chitram Movies,May,Telugu,1
Action,2.9,83.0,B. Gopal,Medikonda Murali Krishna,Paruchuri Brothers (dialogues),Nandamuri Balakrishna,Arti Agarwal,Mani Sharma,V. S. R. Swamy,Kotagiri Venkateswara Rao,Venkata Ramana Productions,June,Telugu,1
Action,5.4,84.0,Pawan Kalyan,Allu Aravind,Pawan Kalyan,Pawan Kalyan,Renu Desai,Ramana Gogula,Chota K. Naidu,Yousuf Khan,Geetha Arts,April,Telugu,0
Comedy,4.7,83.0,Agathiyan,B. V. S. N. Prasad,Others,Ravi Teja,Vani,M. M. Keeravani,Rajesh Yadav,Venkateswara Rao Kotagiri,Sri Venkateswara Cine Chitra,January,Telugu,3
Others,5.8,83.0,E. V. V. Satyanarayana,M.Ramalinga Raju,Janardhan Maharshi (dialogues),Rajendra Prasad,Allari Naresh,M. M. Keeravani,V. Srinivasa Reddy,Gowtham Raju,Roja Movies[1],December,Telugu,2
Comedy,6.9,83.0,S. V. Krishna Reddy,Allu Aravind,Chintapalli Ramana (dialogues),Srikanth,Venu Thottempudi,Mani Sharma,Others,Others,Siri Media Arts,January,Telugu,5
Others,5.7,83.0,Ravi Babu,P Kiran,Others,Vijay,Mohit,Chakri,Joshi,Marthand K Venkatesh,Anandi Art Creations,January,Telugu,4
Comedy,6.6,83.0,Venky,Valluripally Ramesh Babu,Satish Vegesna (dialogues),Jagapati Babu,Kalyani,Chakri,S.K.A. Bhupathi,Basva Paidireddy,Maharshi Cinema,February,Telugu,1
Romance,5.3,83.0,E V V Satyanarayana,Ambika Krishna,Others,Aryan Rajesh,Sivaji,Yuvan Shankar Raja,V. Srinivasa Reddy,V. Nagi Reddy,Ambica Art Productions,August,Telugu,3
Romance,5.3,83.0,Srikanth I,D.Anil Kumar,Janardhan Maharshi,Rajendra Prasad,Sivaji,Ghantadi Krishna,Srinivas Paidala,Mohan-Rama Rao,Sindhura Creations,November,Telugu,1
Drama,4.6,75.0,Raja Sekhar,D. Suresh Babu,Paruchuri Brothers,Uday Kiran,Shriya Saran,R. P. Patnaik,N.K. Ekambaram,Marthand K. Venkatesh,Suresh Productions,August,Telugu,2
Others,6.0,83.0,S. V. Krishna Reddy,Kumar,S. V. Krishna Reddy (story/screenplay),Venu,Laya,S. V. Krishna Reddy,C. Ramprasad[1],Marthand K. Venkatesh[2],Sri Jagannatha Cine & Media creations,September,Telugu,4
Drama,7.9,79.0,Dinesh Babu,Parvathamma Rajkumar,Dinesh Babu,Puneeth Rajkumar,Ramya,Gurukiran,Dinesh Babu,S. Manohar,Poornima Enterprises,April,Kannada,1
Romance,5.7,83.0,A. Mallikarjun,Ashwini Dutt,Chintapally Ramana (dialogues),Kalyan Ram,Ramya,Mani Sharma,V Srinivasa Reddy,Marthand K Venkatesh,Sri Rock Line Movies,November,Telugu,3
Romance,7.2,86.0,Sobhan,M.S. Raju,Paruchuri Brothers (dialogues),Prabhas,Trisha,Devi Sri Prasad,S. Gopal Reddy,K. V. Krishna Reddy,Sumanth Art Productions,January,Telugu,0
Comedy,7.9,85.0,Sukumar,Dil Raju,Sukumar,Allu Arjun,Anu Mehta,Devi Sri Prasad,R. Rathnavelu,Marthand K. Venkatesh,Sri Venkateswara Creations,May,Telugu,1
Comedy,7.8,93.0,Sekhar Kammula,Others,Sekhar Kammula,Raja,Kamalinee Mukherjee,K. M. Radha Krishnan,Vijay C Kumar,Marthand K. Venkatesh,Amigos Creations & NFDC,October,Telugu,2
