Year,Movie,Genere,Imdb_rating,User_rating,Directed by,Produced by,Written by,Screenplay by,Hero,Heroine,Music by,Cinematography,Edited by,company,Release date,Running time,Language
2008,Parugu,Action,7/1,90%, Bhaskar , Dil Raju , Bhaskar ,, Allu Arjun , Sheela Kaur , Mani Sharma , Vijay C Chakravarthy , Marthand K. Venkatesh , Sri Venkateswara Creations ,2-May-2008, 166 minutes , Telugu 
2008,Gamyam,Romance,8.3,96%, Radhakrishna Jagarlamudi , Saibabu Jagarlamudi , Radhakrishna Jagarlamudi ,, Allari Naresh , Sharwanand , E. S. Murthy , Hari Anubolu , Shravan K. , First Frame Entertainment ,29-February-2008, 128 minutes , Telugu 
2008,Bujjigadu,Action,6.9,91%, Puri Jagannadh , K.S. Rama Rao , Puri Jagannadh ,, Prabhas , Trisha , Sandeep Chowta , Shyam K. Naidu , Varma , Creative Commercials ,23-March-2008, 146 minutes , Telugu 
2008,Jalsa,Comedy,7.2,81%, Trivikram Srinivas , Allu Aravind , Trivikram Srinivas ,, Pawan Kalyan , Ileana D'Cruz , Devi Sri Prasad , K. V. Guhan , Sreekar Prasad ,,2-April-2008, 167 minutes , Telugu 
2008,Ashta Chamma,Comedy,7.2,84%, Mohan Krishna Indraganti , Ram Mohan P , Mohan Krishna Indraganti ,, Colours Swathi , Nani , Kalyani Malik , P.G. Vinda , Marthand K. Venkatesh ,,5-September-2008,, Telugu 
2008,Vaana,Music,6.5,82%, M. S. Raju.srikanth.bulla , M. S. Raju , M. S. Raju ,, Vinay Rai , Meera Chopra , Kamalakar , Sekhar V. Joseph ,, Sumanth Art Productions ,15-January-2008,, Telugu 
2008,Dasavathaaram,Tamil cinema,7.2,91%, K. S. Ravikumar , Venu Ravichandran , Kamal Haasan ,, Kamal Haasan , Asin , Songs: , Ravi Varman , K. Thanikachalam , Aascar Film Pvt. Ltd ,13-June-2008, 185 minutes , Tamil 
2008,Souryam,Action,6.1,78%, Siva , V. Anand Prasad , M. Ratnam (dialogues) , Siva , Gopichand , Anushka Shetty , Mani Sharma , Vetri , Marthand K Venkatesh , Bhavya Creations ,25-September-2008, 159 minutes , Telugu 
2008,Vinayakudu,Comedy,7.1,, Sai Kiran Adivi , Saritha Patra , Sai Kiran Adivi ,, Krishnudu , Sonia , Sam Prasan , P.G. Vinda , Marthand K Venkatesh ,,21-November-2008,, Telugu 
2008,Krishnarjuna,Comedy,7.2,, P.Vasu , Mohan Babu , Madhukuri Raja (dialogues) , P.Vasu , Nagarjuna Akkineni , Manchu Vishnu , M. M. Keeravani , Om Prakash , Gautham Raju , Sree Lakshmi Prasanna Pictures ,1-February-2008, 154 minutes , Telugu 
2008,Kotha Bangaru Lokam,Romance,6.9,86%, Srikanth Addala , Dil Raju , Srikanth Addala ,, Varun Sandesh , Shweta Prasad , Mickey J. Meyer , Chota K. Naidu , Marthand K. Venkatesh , Sri Venkateswara Creations ,9-October-2008,, Telugu 
2008,Kantri,Action,5.2,79%, Meher Ramesh , C. Ashwini Dutt , Meher Ramesh ,, Jr. NTR , Hansika Motwani , Mani Sharma , Sameer Reddy , Marthand K. Venkatesh ,,9-May-2008, 166 minutes , Telugu 
2008,Bhale Dongalu,Romance,4.2,, K. Vijaya Bhaskar , Sakhamuri Panduranga Rao , Abburi Ravi (dialogues) , K. Vijaya Bhaskar , Ileana D'Cruz , Tarun , K.M. Radha Krishnan , Jagan JRJ , Marthand K. Venkatesh , Sri Lakshmi Devi Productions ,11-April-2008, 158 minutes , Telugu 
2008,Ready,Comedy,7.2,87%, Srinu Vaitla , Sravanthi Ravi Kishore , Kona Venkat ,, Ram , Genelia D'Souza , Devi Sri Prasad , Prasad Murella , M.R. Varma , Sri Sravanthi Movies ,19-June-2008, 174 min , Telugu 
2008,Chintakayala Ravi,Comedy,5.4,87%, Yogi , Nallamalupu Bujji , Kona Venkat , Yogi , Venkatesh , Anushka Shetty , Songs: , K. Ravindra Babu , Sreekar Prasad , Lakshmi Narasimha Productions ,2-October-2008, 152 minutes , Telugu 
2008,Ontari,Action,5.8,, B.V. Ramana , Pokuri Babu Rao , Marudhuri Raja , B.V. Ramana , Gopichand , Bhavana , Mani Sharma , Sarvesh Murari , Gautham Raju , Ee Taram Films[1] ,14-February-2008, 142 minutes , Telugu 
2008,Blade Babji,Comedy,6.5,, Devi Prasad , Muthyala Satya Kumar ,,, Allari Naresh , Sayali Bhagat , Koti ,,,,24-October-2008,, Telugu 
2008,Mr. Medhavi,Romance,6.1,, G. Neelakanta Reddy , RamaRao Bodduluri, G. Neelakanta Reddy ,, Raja Abel , Genelia D'Souza , Chakri , Suneel L Reddy ,, Life Style Art Pictures ,January-26,, Telugu 
2008,Sundarakanda,Tollywood,3.5,, Bapu ,, Mullapudi Venkata Ramana ,, Naresh , Charmi , Vidyasagar ,,,,8-February-2008,, Telugu 
