Year,Movie,Genere,Imdb_rating,User_rating,Directed by,Produced by,Written by,Screenplay by,Hero,Heroine,Music by,Cinematography,Edited by,company,Release date,Running time,Language
2009,Boni,Comedy,4.6,, Raj Pippalla , Ramana Gogula , Raj Pippalla (story) ,, Sumanth , Kriti Kharbanda , Ramana Gogula , Andrew , M.R. Varma ,,12-June-2009,, Telugu 
2009,Bangaru Babu,Drama,4.5,, Jonnalagadda Srinivas , K. Ramakrishna Prasad , Madukuri Raja (dialogues) , Dasari Narayana Rao , Jagapati Babu , Meera Jasmine , M. M. Srilekha , Ch. Ramana Raju , B. Krishanam Raju , Sowbhagya Media Limited ,1-May-2008, 154 minutes , Telugu 
2009,Eenadu,Bollywood,,81%, Chakri Toleti , Kamal Haasan , Neeraj Pandey ,, Kamal Haasan , Venkatesh , Shruti Haasan , Manoj Soni , Rameshwar S. Bhagat , Raaj Kamal International ,19-September-2009, 106 minutes , Telugu 
2009,Ayan,Action,7.3,93%, K. V. Anand , M. Saravanan , Subha (Dialogue) , K. V. Anand , Suriya , Prabhu , Harris Jayaraj , M. S. Prabhu , Anthony Gonsalves , AVM Productions ,3-April-2009, 162 minutes , Tamil 
2009,13B: Fear Has a New Address,Horror,7/1,92%, Vikram Kumar , Suresh Balaje , Vikram Kumar (Both) , Vikram Kumar , R. Madhavan , Neetu Chandra , Shankar-Ehsaan-Loy , P. C. Sreeram , Sreekar Prasad ,,6-March-2009, 137 minutes , Tamil 
2009,Ninnu Kalisaka,Romance,,, Siva Nageswara Rao , Ramoji Rao ,, Siva Nageswara Rao , Santosh Samrat , Chaitanya Krishna , Sunil Kashyap , BL Sanjay , Gautham Raju , Ushakiran Movies ,2-October-2009,, Telugu 
2009,Siddham,Tollywood,5.6,, J. D. Chakravarthy , Kiran Kumar Koneru , J. D. Chakravarthy ,, Jagapati Babu , Sindhu Menon , Amar Mohile , Bharani K Dharan , Bhanodaya , Shreya Productions ,12-February-2009, 134 minutes , Telugu 
2009,Ride,Tollywood,5/1,87%, Ramesh Varma , Bellamkonda Suresh , Ramesh Varma ,, Nani , Aksha , Hemachandra (Soundtrack) , Shyam K. Naidu , Marthand K. Venkatesh ,,5-June-2009,, Telugu 
2009,Katha,Tollywood,6/1,, Srinivas Raga , Urmila Gunnam , Gangaraju Gunnam ,, Adith Arun , Genelia D'Souza , S. K. Balachandran ,,, Just Yellow Media ,12-December-2009,, Telugu 
2010,Ye Maaya Chesave,Romance,7.8,94%, Gautham Menon , Manjula Ghattamaneni , Gautham Menon ,, Naga Chaitanya , Samantha Ruth Prabhu , A. R. Rahman , Manoj Paramahamsa , Anthony Gonsalves , Indira Productions ,26-February-2010,, Telugu 
2010,Prasthanam,Action,8.3,93%, Deva Katta , Ravi Vallabhaneni , Deva Katta ,, Sharvanand , Sai Kumar , Mahesh Shankar , Shamdat , Dharmendra Kakarala ,,16-April-2010, 184 minutes , Telugu 
2010,Khaleja,Comedy,7.6,90%, Trivikram Srinivas , Singanamala Ramesh , Trivikram Srinivas ,, Mahesh Babu , Anushka Shetty , Mani Sharma , Yash Bhatt , A. Sreekar Prasad ,,7-October-2010, 171 minutes , Telugu 
2010,Darling,Romance,7.4,85%, A. Karunakaran , B. V. S. N. Prasad , Darling Swamy (dialogues) , A. Karunakaran , Prabhas , Kajal Aggarwal , G. V. Prakash Kumar , Andrew , Kotagiri Venkateswara Rao , Sri Venkateswara Cine Chitra ,23-April-2010, 153 mins , Telugu 
2010,Leader,Drama,8/1,92%, Sekhar Kammula , M. Saravanan , Sekhar Kammula ,, Rana Daggubati , Priya Anand , Mickey J Meyer , Vijay C. Kumar , Marthand K Venkatesh , AVM Productions ,19-February-2010, 171 minutes , Telugu 
2010,Brindavanam,Romance,7.2,88%, Vamsi Paidipally , Dil Raju , Vamsi Paidipally ,, N. T. Rama Rao Jr. , Kajal Aggarwal , S. Thaman , Chota K. Naidu , Marthand K Venkatesh , Sri Venkateswara Creations ,14-October-2010, 170 minutes , Telugu 
2010,Maryada Ramanna,Comedy,7.5,86%, S. S. Rajamouli , Shobu Yarlagadda , S. S. Kanchi (Dialogue) , S. S. Rajamouli , Sunil , Saloni Aswani , M. M. Keeravani , Ram Prasad , Kotagiri Venkateswara Rao , Arka Media Works ,23-July-2010,, Telugu 
2010,Varudu,Action,3.6,75%, Gunasekhar , DVV Danayya , Gunasekhar ,, Allu Arjun , Arya , Mani Sharma , R. D. Rajasekhar , Anthony ,,31-March-2010,, Telugu 
2010,Adhurs,Comedy,6.8,88%, V.V. Vinayak , Vallabhaneni Vamshi Mohan , Kona Venkat ,, NTR Jr. , Nayantara , Devi Sri Prasad , Chota K. Naidu , Gowtham Raju , Annapurna Studios ,15-January-2010, 150 minutes , Telugu 
2010,Broker,Tollywood,7.2,, R. P. Patnaik , Maddineni Ramesh ,,, R. P. Patnaik , Asha Saini , R. P. Patnaik , Sarath Mandava , Uddav ,,31-December-2010, 126 minutes , Telugu 
2010,Kedi,Action,4.9,, Kiran Kumar , D. Siva Prasad Reddy , Kiran Kumar ,, Nagarjuna Akkineni , Mamta Mohandas , Sandeep Chowtha , Sarvesh Murari , Sravan , Annapurna Studios & Kamakshi Movies ,12-February-2010, 163 mins , Telugu 
2010,Kalavar King,Comedy,3.6,, Suresh , Srinivasa Rao Dammalapati ,,, Nikhil Siddharth , Shweta Prasad , Anil R , B. Bala Murugan , Marthand K. Venkatesh ,,26-February-2010, 138 minutes , Telugu 
2010,Thakita Thakita,Romance,6.2,76%, Sreehari Nanu , Bharat Thakur , B.V.S. Ravi (dialogues) , Sreehari Nanu , Harshvardhan Rane , Haripriya , Bobo Shashi , K.K. Senthil Kumar , Marthand K. Venkatesh , Down Town Films ,3-September-2010, 137 mins , Telugu 
2010,Simha,Action,6/1,76%, Boyapati Srinu , Paruchuri Kireeti , Koratal Siva ,, Nandamuri Balakrishna , Nayantara , Chakri , Arthur A. Wilson , Anthony , United Movies ,30th-April-2010, 156 minutes , Telugu 
2010,Namo Venkatesa,Action,5.4,73%, Sreenu Vaitla , D. Suresh Babu (Presenter) , Chintapalli Ramana (Dialogues) , Sreenu Vaitla , Venkatesh , Trisha , Devi Sri Prasad , Prasad Murella , M.R. Varma , Suresh Productions ,14-January-2010, 152 minutes , Telugu 
2010,Ragada,Comedy,6.2,73%, Veeru Potla , D. Siva Prasad Reddy , Veeru Potla ,, Nagarjuna Akkineni , Anushka Shetty , S. Thaman , Sarvesh Murari , Marthand K. Venkatesh , Kamakshi Movies ,24-December-2010, 141 min , Telugu 
2010,Rama Rama Krishna Krishna,Comedy,5.5,84%, Sriwass , Dil Raju ,,, Arjun Sarja , Ram Pothineni , M.M. Keeravani , Sekhar V. Joseph , Marthand K Venkatesh , Sri Venkateswara Creations ,12-May-2010, 161 minutes , Telugu 
2010,Nagavalli,Action,4.5,67%, P. Vasu , Bellamkonda Suresh , Paruchuri Brothers , P. Vasu , Anushka Shetty , Venkatesh , Gurukiran , Shyam K. Naidu , Marthand K Venkatesh , Sri Sai Ganesh Productions ,16-December-2010, 159 minutes , Telugu 
2010,Gaayam 2,Action,5.3,, Praveen Sri , Dr. C. Dharmakartha , Ravi Reddy Mallu , Rajendra Reddy , Jagapathi Babu , Vimala Raman , Ilayaraja , Anil Bandari , Praveen Pudi , Kartha Creations ,3-September-2010, 132 minutes , Telugu 
2010,Baava,Drama,5/1,58%, Rambabu , M. L. Padma Kumar Chowdary , Veera Pothana (dialogues) , Rambabu , Siddharth Narayan , Praneetha , Chakri , Aravind Krishna , K. V. Krishna Reddy , Sri Keerthi Creations ,29-October-2010, 145 mins , Telugu 
2010,Shambo Shiva Shambo,Action,6.8,87%, Samuthirakani , Bellamkonda Suresh , Samuthirakani ,, Ravi Teja , Allari Naresh , Sundar C Babu , S. R. Kathir , A. L. Ramesh , Global Infotainment ,14-January-2010,, Telugu 
2010,Aalasyam Amrutam,Horror,4.1,, Chandra Mahesh , D. Ramanaidu ,,, Nikhil Siddharth , Madalasa Sharma ,,,, Suresh Productions ,,, Telugu 
2010,Puli,Comedy,3.8,78%, S. J. Surya , Navodaya Appachan , S. J. Surya ,, Pawan Kalyan , Nikeesha Patel , A. R. Rahman , Binod Pradhan ,,,10-September-2010, 163 minutes[1] , Telugu 
2010,Friend to all,Drama,7.3,, Chandra Siddhartha , Chandra Siddhartha , Balabhadrapatruni Ramani ,, Sharwanand , Padma Priya , Anoop Rubens , Gummadi Jayakrishna ,,,14-May-2010,, Telugu 
2010,Jhummandi Nadam,Drama,7.1,70%, K. Raghavendra Rao , Lakshmi Manchu , Bhupati Raja ,, Manoj Manchu , Taapsee Pannu , M. M. Keeravani , S. Gopal Reddy , Marthand K. Venkatesh , Sree Lakshmi Prasanna Pictures ,1-July-2010,, Telugu 
2010,Golimaar,Action,5.8,73%, Puri Jagannadh , Bellamkonda Suresh , Puri Jagannadh ,, Gopichand , Priyamani , Chakri , Shyam K Naidu , Marthand K Venkatesh , Sri Sai Ganesh Productions ,27-May-2010, 145 minutes , Telugu 
2010,Don Seenu,Comedy,6.1,84%, Gopichand Malineni , R. R. Venkat , Gopichand Malineni ,, Ravi Teja , Shriya Saran , Mani Sharma , Sameer Reddy , Gowtam Raju Rao ,,21-June-2010, 165 minutes[4] , Telugu 
2010,Bheemili Kabaddi Jattu,Romance,7.8,93%, Tatineni Satya , NV Prasad, Suseenthiran ,, Nani , Saranya Mohan , V. Selvaganesh , Chittibabu ,,,9-July-2010,, Telugu 
2010,Panchakshari,Drama,4.3,87%, V. Samudra , Bommadevara Ramachandra Rao ,,, Anushka Shetty , Samrat , Chinna , Vasu , Marthand K Venkatesh ,,11-June-2010,, Telugu 
2010,After Life,Romance,3.2,, Ravi Yadav , Dil Raju , K. Balachander ,, Varun Sandesh , Anita Galler , Songs: , Ravi Yadav , Marthand K Venkatesh , Sri Venkateswara Creations & Matinee Entertainment ,25-March-2010,, Telugu 
2010,Yemaindi Ee Vela,Drama,5.1,84%, Sampath Nandi , K.K. Radha Mohan , Sampath Nandi ,, Varun Sandesh , Nisha Aggarwal , Chakri , Bujji ,,,12-November-2010,, Telugu 
2010,Saradaga Kasepu,Comedy,5.4,, Vamsy , M. L. Padma Kumar Chowdary , Sankaramanchi (story) ,, Allari Naresh , Madhurima , Chakri , Loki , Basva Paidireddy ,,17-September-2010,, Telugu 
2010,Yagam,Action,4.3,, P.A. Arun Prasad , Raju ,,, Navdeep , Bhumika Chawla , Mani Sharma , Bharani K Dharani , Marthand K. Venkatesh , Silver Screen Movies ,19-March-2010,, Telugu 
2010,Rakhta Charitra,Bollywood,7.6,87%, Ram Gopal Varma , Madhu Mantena ,, Prashant Pandey , Vivek Oberoi , Suriya , Part I: , P. S. Vinod , Nipun Gupta , RGV film factory ,22-October-2010, Part I: 123min (Hindi) , Hindi 
2010,Saadhyam,Drama,3.8,, Karthikeya Gopalakrishna , D. Ratna Kumar , Maduri Madhu (dialogues) , Shyam Manohar , Jagapati Babu , Priyamani , Chinni Charan , Maro Palini Kumar , Gautham Raju , Kumar Brothers Cinema (KBC Productions) ,5-March-2010,, Telugu 
2010,Meri Warrant,Drama,4.3,, G. V. Sudhakar Naidu , C. R. Manohar , Madan ,, Srikanth<br/>Vimala Raman<br/>Ramya Krishna , Music by , Chakri ,,,,30-December-2010, 124 minutes , Telugu 
2010,Police Police,Action,8.5,75%, Manmohan (director) , Chandu , Manmohan ,, Srikanth , Prithviraj Sukumaran , Vishwa , Bharani K. Dharan , Sreekar Prasad ,,9-April-2010, 2.22 mins , Telugu / Tamil 
2010,Kalyan Ram Kathi,Action,6/1,, Mallikharjun , Nandamuri Kalyan Ram , Mallikharjun ,, Kalyan Ram , Shaam , Mani Sharma , Sarvesh Murari , Gowtam Raju , N.T.R. Arts ,12-November-2010,, Telugu 
2010,Mansara,Drama,7.2,76%, Ravi Babu , Prakash Babu Kadiyala ,, Satyanand , Vikram , Sri Divya , Sekhar Chandra , Sudhakar Reddy , Marthand K. Venkatesh , Moving Images ,12-October-2010,, Telugu 
2010,Sneha Geetham,Drama,6.1,, Madhura Sreedhar Reddy , Sirisha Sridhar Lagadapati , Madhura Sreedhar Reddy ,, Sundeep Kishan , Suhani Kalita , Sunil Kashyap , P. G. Vinda , Lokesh Chenna [1] , Larsco Entertainment ,16-July-2010, 134 Minutes [3] , Telugu 
2010,Subapradam,Drama,3.9,, K. Viswanath , Hari Gopalakrishna ,, K. Viswanath , Allari Naresh , Manjari Phadnis , Mani Sharma ,,, Sri Rajeswari Combines ,16-July-2010,, Telugu 
2010,Paiyaa,Action,6.3,89%, N. Linguswamy , N. Subash Chandra Bose , Brinda Sarathy (Dialogues) , N. Linguswamy , Karthi , Tamannaah , Yuvan Shankar Raja , R. Madhi , Anthony Gonsalves , Thirupathi Brothers ,2-April-2010, 151 minutes , Tamil 
2011,Mr. Perfect,Action,7.1,90%, Dasaradh , Dil Raju , K. S. Ravindra , Hari , Prabhas , Kajal Aggarwal , Devi Sri Prasad , Vijay C Chakravarthy , Siva Prasad , Sri Venkateswara Creations ,22-April-2011, 145 min , Telugu 
2011,Dookudu,Comedy,7.5,85%, Srinu Vaitla , Ram Achanta , Srinu Vaitla ,, Mahesh Babu , Samantha Ruth Prabhu , S. Thaman , K. V. Guhan , M. R. Varma , 14 Reels Entertainment ,23-September-2011, 175 minutes , Telugu 
2011,Sri Rama Rajyam,Drama,7.1,77%, Bapu , Yalamanchali Sai Babu ,, Bapu , Nandamuri Balakrishna , Nayanthara , Ilaiyaraaja , P. R. K. Raju , G. G. Krishna Rao , Sri Sai Baba Movies ,17-November-2011, 172 minutes , Telugu 
2011,Pilla Zamindar,Comedy,7.8,95%, G. Ashok , D. S. Rao , Chandrashekar Gundimeda (dialogues) , G. Ashok , Nani , Haripriya , Selvaganesh , Sai Sriram , Prawin Pudi , Sri Shailendra Cinemas ,29-September-2011, 147 Min , Telugu 
2011,Ala Modalaindi,Drama,7.7,93%, Nandini Reddy , K. L. Damodar Prasad , Lakshmi Bhupal ,, Nani , Nithya Menen , Kalyani Malik , Arjun Jena , Marthand K Venkatesh ,,21-January-2011, 135 minutes , Telugu 
2011,Panjaa,Action,6.6,88%, Vishnuvardhan , Neelima Tirumalasetty , Abburi Ravi (Dialogues) , Rahul Koda , Pawan Kalyan , Sarah-Jane Dias , Yuvan Shankar Raja , P. S. Vinod , A. Sreekar Prasad , Arka Media Works ,9-December-2011, 156 minutes , Telugu 
2011,Mogudu,Drama,3.8,70%, Krishna Vamsi , Nallamalapu Bujji , Bheem (dialogues) , Krishna Vamsi , Gopichand , Taapsee , Babu Shankar[1] , Srikanth Naroju , Gautham Raju , Sri Lakshmi Narasimha Productions ,4-November-2011, 159 minutes , Telugu 
2011,Oosaravelli,Comedy,6.6,84%, Surender Reddy , B. V. S. N. Prasad , Vakkantham Vamsi ,, Jr.Ntr , Tamannaah Bhatia , Devi Sri Prasad , Rasool Ellore , Gautham Raju , Sri Venkateswara Cine Chitra ,6-October-2011, 162 minutes , Telugu 
2011,Golconda High School,Drama,6.8,89%, Mohan Krishna Indraganti , Ram Mohan P ,, Mohan Krishna Indraganti , Sumanth , Swati Reddy , Kalyani Malik , K. K. Senthil Kumar ,,,14-January-2011,, Telugu 
2011,Dhada,Comedy,3.8,79%, Ajay Bhuyan , D. Siva Prasad Reddy , Ajay Bhuyan ,, Naga Chaitanya Akkineni , Kajal Aggarwal , Devi Sri Prasad , Gnana Shekar V.S. , Dharmendra Kakarala , Sri Kamakshi Enterprises ,11-August-2011, 130 minutes , Telugu 
2011,Kandireega,Comedy,6.2,84%, Santosh srinivas , Bellamkonda Suresh ,,, Ram , Hansika Motwani , S. Thaman , Prasad ,, Sri Sai Ganesh Productions ,12-August-2011,, Telugu 
2011,Veera,Comedy,3.7,69%, Ramesh Varma , Ganesh Indukuri , Paruchuri Brothers ,, Ravi Teja , Kajal Aggarwal , Thaman , Chota K. Naidu , Marthand K. Venkatesh , Sanvi Productions ,20-May-2011,, Telugu 
2011,Badrinath,Comedy,4.4,75%, V. V. Vinayak , Allu Aravind , Chinni Krishna[1] , V. V. Vinayak , Allu Arjun , Tamannaah , M. M. Keeravani , Ravi Varman , Gowtam Raju , Geetha Arts ,10-June-2011, 140 minutes , Telugu 
2011,Nenu Naa Rakshasi,Action,5/1,87%, Puri Jagannadh , Nallamalupu Bujji , Puri Jagannadh ,, Rana Daggubati , Ileana D'Cruz , Viswa, Amol Rathod ,,,29-April-2011,, Telugu 
2011,180,Romance,2.5,77%, Jayendra Panchapakesan , Kiran Reddy , Umarji Anuradha (Telugu) , Jayendra , Siddharth , Priya Anand , Sharreth , Balasubramaniem , Kishore Te. , SPI Cinemas ,25-June-2011,, Telugu 
2011,Payanam,Action,7.3,90%, Radha Mohan , Prakash Raj , Radha Mohan ,, Nagarjuna Akkineni , Prakash Raj , Pravin Mani , K. V. Guhan , Kishore Te , Silent Movies ,11-February-2011, 1:55:07 , Tamil 
2011,Mirapakay,Action,6.3,86%, Harish Shankar , Ramesh Puppala , Harish Shankar ,, Ravi Teja , Richa Gangopadhyay , S. Thaman , Ram Prasad , Goutham Raju ,,12-January-2011, 160 minutes , Telugu 
2011,Anaganaga O Dheerudu,Family,5.4,80%, Prakash Kovelamudi , Prakash Kovelamudi , Choudekar Haricharan Madnoor ,, Siddharth , Shruti Haasan , Salim-Sulaiman , Soundar Rajan , Sravan Katikaneni , Disney World Cinema ,14-January-2011,, Telugu 
2011,Oh My Friend,Romance,6.7,87%, Venu Sri Ram , Dil Raju , Venu Sri Ram , Venu Sri Ram , Siddharth Narayan , Hansika Motwani , Original songs: , Vijay C Chakravarthy[1] , Marthand K. Venkatesh , Sri Venkateswara Creations ,11-November-2011, 131 minutes , Telugu 
2011,Aha Naa Pellanta!,Comedy,5.9,, Veerabhadram , Anil Sunkara ,,, Allari Naresh , Ritu Barmecha , Raghu Kunche , Loganathan Srinivasan ,,,2-March-2011,, Telugu 
2011,Rajanna,Action,6.6,84%, V. Vijayendra Prasad , Nagarjuna Akkineni , G. Ajay Kumar (dialogues) , V. Vijayendra Prasad , Nagarjuna Akkineni , Sneha , M.M. Keeravani , Shyam K. Naidu , Kotagiri Venkateswara Rao , Annapurna Studios ,22-December-2011, 129 minutes , Telugu 
2011,Seema Tapakai,Comedy,6.1,, G.Nageswara Reddy ,,,, Allari Naresh , Poorna , Vandemataram Srinivas , Adusumilli Vijay Kumar , Kotagiri Venkateswara Rao , Wellfare Creations ,13-May-2011, 128 min , Telugu 
2011,Ko,Action,7.8,65%, K. V. Anand , Elred Kumar , Subha (Dialogue) , K. V. Anand , Jeeva , Ajmal Ameer , Harris Jayaraj , Richard M. Nathan , Anthony , R. S. Infotainment ,22-April-2011, 165 minutes , Tamil 
2011,Bezawada,Action,3.5,75%, Vivek Krishna , Ram Gopal Varma ,,, Naga Chaitanya , Amala Paul ,,,, Shreya Productions,1-December-2011,, Telugu 
2011,Nuvvila,Comedy,7.1,85%, Ravi Babu , Ramoji Rao , Ravi Babu (Dialogues ) , Satyanand , Havish , Ajay , Shekar Chandra , Sudhakar Reddy , Marthand K Venkatesh , Ushakiran Movies ,3-November-2011,, Telugu 
2011,7aum Arivu,Action,6.1,91%, A. R. Murugadoss , Udhayanidhi Stalin , A. R. Murugadoss ,, Suriya , Shruti Haasan , Harris Jayaraj , Ravi K. Chandran , Anthony , Red Giant Movies ,26-October-2011, 168 minutes , Tamil 
2011,Raaj,Romance,4.6,, V. N. Aditya , Kumar Brothers , V. N. Aditya ,, Sumanth , Vimala Raman , Koti ,,,,18-March-2011,, Telugu 
2011,Kshetram,Action,,, T Venu Gopal , G. Govinda Raju , Paruchuri Brothers (dialogues) , T Venu Gopal , Jagapati Babu , Shaam , Koti , M. V. Raghu , Kotagiri Venkateswara Rao , Sri Balaji Movie Makers ,29-December-2011, 145 minutes , Telugu 
2011,Katha Screenplay Darsakatvam Appalaraju,Comedy,5.1,, Ram Gopal Varma , Kiran Kumar Koneru , Ram Gopal Varma , Nilesh Girkar , Sunil , Swati Reddy , Koti , Sudhakar Yakkanti , Bhanodaya ,,18-February-2011,, Telugu 
2011,Parama Veera Chakra,Action,2.4,, Dasari Narayana Rao , C. Kalyan , Dasari Narayana Rao ,, Nandamuri Balakrishna , Ameesha Patel , Mani Sharma , Ramana Raju , Gautham Raju , Teja Cinema[1] ,12-January-2011,, Telugu 
2011,Dongala Mutha,Thriller,3.9,, Ram Gopal Varma , Kiran Kumar Koneru , Nilesh Girkar ,, Ravi Teja , Charmme Kaur , Sathyam (Theme Song) , FX School and VFX @ FX , FX School and VFX @ FX , Shreya Production & Dreamforce ,18-March-2011, 92 minutes , Telugu 
2011,Vastadu Naa Raju,Comedy,7/1,, Hemant Madhukar , Vishnu Manchu , Marudhuri Raja ,, Vishnu Manchu , Taapsee Pannu , Mani Sharma , Gopal Reddy S , Gautham Raju , 24 Frames Factory ,11-February-2011,, Telugu 
2011,Prema Kavali,Action,6.6,80%, K. Vijaya Bhaskar , K Atchi Reddy ,,, Aadi , Isha Chawla , Anoop Rubens ,, Gautham Raju ,,25-February-2011,, Telugu 
2011,Mugguru,Comedy,2/5,, V. N. Aditya , D. Ramanaidu , V. N. Aditya ,, Navdeep , Shraddha Das , Koti ,,, Suresh Productions ,14-August-2011,, Telugu 
2011,Veedu Theda,Drama,5.7,, Chinni Krishna , Kalyan Chakravarthy ,,, Nikhil Siddharth , Aas Mohammad Abbasi Pooja Bose , Chakri , Malhar Bhatt Joshi , Gautham Raju ,,18-November-2011,, Telugu 
2011,Jai Bolo Telangana,History,7/1,76%, N. Shankar , N. Shankar , Udugula Venu (dialogues) , N. Shankar , Jagapathi Babu , Smriti Irani , Chakri , T. Surender Reddy , Kotagiri Venkateswara Rao , Mahalakshmi Arts ,4-February-2011, 141 minutes , Telugu 
2011,Kudirithe Kappu Coffee,Romance,6/1,, Ramana Salva , Mahi V Raghav and Shiva Meka , Ramana Salva , Ramana Salva , Varun Sandesh , Suma Bhattacharya , Yogeshwara Sharma , Santhosh Roy Pathaje , Anil Kumar Bonthu ,,25-February-2011,, Telugu 
2011,Wanted,Tollywood,4.4,, B.V.S.Ravi , V. Ananda Prasad , B.V.S.Ravi ,, Gopichand , Deeksha Seth , Chakri , Rasool Ellore , Shankar , Bhavya Creations ,26-January-2011,, Telugu 
2011,Rajapattai,Action,3.2,74%, Suseenthiran , Prasad V. Potluri , Bhaskar Sakthi (Dialogues) , Suseenthiran , Vikram , Deeksha Seth , Yuvan Shankar Raja , R. Madhi , Kasi Viswanathan , PVP cinema ,23-December-2011, 133 minutes , Tamil 
2011,Daggaraga Dooranga,Action,4.6,, Ravikumar Chavali , J. Samba Siva Rao ,,, Sumanth , Vedhika , Raghu Kunche ,,,,26-August-2011,, Telugu 
2011,Solo,Tollywood,6.6,87%, Parasuram , Vamsikrishna Srinivas , Parasuram , Parasuram , Nara Rohit , Nisha Aggarwal , Mani Sharma , Dasaradhi Sivendra , Marthand K Venkatesh , S.V.K CINEMA ,25-November-2011,, Telugu 
2011,Chattam,Action,,, P.A. Arun Prasad , Natti Kumar , Vishaka Takies ,, Jagapathi Babu , Vimala Raman , M. M. Srilekha , Jaswanth , Gautham Raju , Vishaka Takies ,25-March-2011, 109 minutes , Telugu 
2011,Avan Ivan,Comedy,6.2,84%, Bala , Kalpathi S. Aghoram , S. Ramakrishnan (dialogue) , Bala , Vishal , Arya , Yuvan Shankar Raja , Arthur A. Wilson , Suresh Urs , AGS Entertainment ,17-June-2011, 131 minutes , Tamil 
2011,Teen Maar,Comedy,5.8,77%, Jayanth C. Paranjee , Bandla Ganesh , Trivikram Srinivas (dialogues) ,, Pawan Kalyan , Trisha Krishnan , Mani Sharma , Jayanan Vincent ,, Parameswara art Productions ,14-April-2011, 149 minutes , Telugu 
2011,Vaareva,Romance,,, Kalyan Mantena , Maheshwara Rao ,,, Gouthama as rishi , Shambhavi as sandya , Mahesh Shankar ,,,,29-January-2011,, Telugu 
2012,Eega,Bollywood,7.8,86%, S. S. Rajamouli , Korrapati Ranganatha Sai , K. V. Vijayendra Prasad , S. S. Rajamouli , Sudeep , Nani , M. M. Keeravani , K. K. Senthil Kumar , Kotagiri Venkateswara Rao , Varahi Chalana Chitram ,6-July-2012, 134 minutes[1] , Telugu 
2012,Gajapokkiri,Comedy,7.2,92%, Trivikram Srinivas , S. Radha Krishna , Trivikram Srinivas ,, Allu Arjun , Ileana D'Cruz , Devi Sri Prasad , Chota K. Naidu , Prawin Pudi , Haarika & Hassine Creations ,9-August-2012, 152 minutes[2] , Telugu 
2012,Racha,Action,4.4,76%, Sampath Nandi , R. B. Choudary, Sampath Nandi,, Ram Charan , Tamannaah , Mani Sharma , Sameer Reddy , Gautham Raju , Megaa Super Good Films ,5-April-2012, 144 minutes , Telugu 
2012,Life Is Beautiful,Romance,6.4,86%, Sekhar Kammula , Sekhar Kammula , Sekhar Kammula ,, Shriya Saran , Anjala Zaveri , Mickey J Meyer , Vijay C. Kumar , Marthand K. Venkatesh , Amigos Creations ,14-September-2012, 167 minutes , Telugu 
2012,Gabbar Singh,Comedy,7.2,79%, Harish Shankar , Bandla Ganesh ,, Satish Vegesna , Pawan Kalyan , Shruti Haasan , Devi Sri Prasad , Jayanan Vincent , Gautham Raju , Parameswara Art Productions ,11-May-2012, 152 minutes , Telugu 
2012,Endukante... Premanta!,Romance,6.2,88%, A. Karunakaran , Sravanthi Ravi Kishore , A. Karunakaran ,, Ram , Tamannaah , G. V. Prakash Kumar , I. Andrew ,, Sri Sravanthi Movies ,8-June-2012, 155 minutes , Telugu 
2012,Krishnam Vande Jagadgurum,Action,6.9,91%, Krish , Saibabu Jagarlamudi , Sai Madhav Burra (dialogues) , Krish , Rana Daggubati , Nayantara , Mani Sharma , Gnana Shekar V.S , Shravan , First Frame Entertainment ,30-November-2012, 139 minutes , Telugu 
2012,Cameraman Gangatho Rambabu,Action,5.8,84%, Puri Jagannadh , DVV Danayya , Puri Jagannadh , Puri Jagannadh , Pawan Kalyan , Tamannaah , Mani Sharma , Shyam K. Naidu , S. R. Shekhar , Universal Media ,18-October-2012, 149 minutes , Telugu 
2012,Poola Rangadu,Comedy,5.9,79%, Veerabhadram , R. R. Venkat , Veerabhadram ,, Sunil , Isha Chawla , Anoop Rubens , Prasad Murella , Kotagiri Venkateswara Rao , R.R.Movie Makers ,18-February-2012, 150 minutes , Telugu 
2012,Devudu Chesina Manushulu,Comedy,3.6,80%, Puri Jagannadh , B. V. S. N. Prasad , Puri Jagannadh , Puri Jagannadh , Ileana D'Cruz , Ravi Teja , Raghu Kunche , Shyam K. Naidu , S. R. Shekhar , Sri Venkateswara Cine Chitra ,15-August-2012, 124 minutes , Telugu 
2012,Nuvva Nena,Comedy,5.3,, P. Narayana , Vamsikrishna Srinivas , Surya (story & dialogues) , Surya , Shriya Saran , Allari Naresh , Bheems Ceciroleo , Dasarathi Shivendra , Marthand K. Venkatesh , S.V.K Cinema ,16-March-2012, 127 minutes , Telugu 
2012,Dhammu,Action,5.3,78%, Boyapati Srinu , Alexander Vallabha , M. Ratnam ,, NTR Jr , Trisha Krishnan , M. M. Keeravani , Arthur A. Wilson , Anthony , Creative Commercials ,27-April-2012, 155 minutes , Telugu 
2012,Kadhalil Sodhappuvadhu Yeppadi,Romantic comedy,7.3,78%, Balaji Mohan , Sasikanth Sivaji , Balaji Mohan , Balaji Mohan , Siddharth , Amala Paul , Thaman , Nirav Shah , T. S. Suresh , Y NOT Studios ,17-February-2012,, Tamil 
2012,Sarocharu,Romance,4.8,79%, Parasuram , Priyanka Dutt , Parasuram[1] ,, Ravi Teja , Kajal Aggarwal , Devi Sri Prasad , Vijay C Chakravarthy , Kotagiri Venkateswara Rao , Vyjayanthi ,21-December-2012, 138 minutes , Telugu 
